,age,sex,years_study,color_race,salary,civil_status,region
126,51,man,11.0,white,39449.28125,married,north
127,45,woman,9.0,brown,12422.391189513477,married,north
128,29,man,8.0,white,6060.0,not_married,north
129,27,woman,11.0,brown,8484.0,not_married,north
130,57,man,5.0,black,1100.0,married,north
131,52,woman,5.0,brown,12422.391189513477,married,north
132,29,man,14.0,brown,9600.0,not_married,north
133,26,woman,11.0,brown,5400.0,not_married,north
134,24,woman,11.0,brown,5880.0,not_married,north
135,27,woman,11.0,brown,12422.391189513477,not_married,north
136,34,man,12.0,brown,43680.0,married,north
137,31,woman,10.0,white,12422.391189513477,married,north
138,40,woman,12.0,brown,8820.0,not_married,north
139,21,man,11.0,brown,6702.0,not_married,north
140,20,man,7.0,brown,721.0,not_married,north
141,50,woman,5.0,brown,115920.0,not_married,north
142,24,man,8.0,brown,9090.0,not_married,north
143,41,man,11.0,white,7272.0,married,north
144,38,woman,5.0,white,18815.8798828125,married,north
145,32,man,11.0,brown,15000.0,married,north
146,31,woman,11.0,brown,750.0,married,north
147,48,man,5.0,brown,3020.0,married,north
148,32,woman,5.0,black,250.0,married,north
149,30,man,11.0,white,9968.7001953125,married,north
150,21,woman,11.0,white,8940.08984375,married,north
151,35,man,11.0,brown,9600.0,married,north
152,33,woman,11.0,white,4930.2001953125,married,north
153,23,man,11.0,brown,3078.47998046875,not_married,north
154,60,woman,5.0,brown,12422.391189513477,not_married,north
155,43,woman,11.0,white,1600.0,married,north
156,51,man,11.0,brown,43745.7578125,married,north
157,26,man,11.0,white,9384.240234375,not_married,north
158,20,man,9.0,white,15912.0,not_married,north
159,58,man,11.0,brown,12422.391189513477,married,north
160,57,woman,11.0,brown,122040.0,married,north
161,40,man,9.0,brown,8232.0,married,north
162,39,woman,10.0,white,12422.391189513477,married,north
163,35,man,13.0,black,11220.0,not_married,north
164,44,man,11.0,brown,28152.0,married,north
165,40,woman,15.0,black,25440.0,married,north
166,20,man,11.0,brown,12422.391189513477,not_married,north
167,29,woman,11.0,brown,0.0,not_married,north
168,41,man,15.0,brown,38784.0,married,north
169,36,woman,11.0,brown,12422.391189513477,married,north
170,38,man,5.0,brown,9600.0,married,north
171,25,woman,11.0,brown,7440.0,married,north
172,30,woman,8.0,brown,5940.0,not_married,north
173,41,man,8.0,brown,7733.8798828125,married,north
174,35,woman,7.0,brown,3600.0,married,north
175,21,man,11.0,white,9020.639892578123,not_married,north
176,32,woman,14.0,white,11309.759765625,not_married,north
177,52,man,5.0,white,9706.0,married,north
178,31,woman,5.0,brown,12422.391189513477,married,north
179,59,man,8.0,brown,12594.0,married,north
180,42,woman,11.0,black,6046.800048828125,married,north
181,48,man,7.0,white,12422.391189513477,not_married,north
182,31,man,5.0,white,9504.0,married,north
183,46,woman,5.0,white,4930.2001953125,married,north
184,48,woman,5.0,white,7635.599609375,married,north
185,57,man,5.0,black,7272.0,married,north
186,27,man,8.0,brown,18000.0,married,north
187,22,woman,11.0,brown,5940.0,married,north
188,60,woman,5.0,brown,8484.0,married,north
189,30,man,5.0,black,3600.0,married,north
190,44,man,8.0,black,8484.0,not_married,north
191,28,man,8.0,brown,2797.2001953125,not_married,north
192,25,woman,13.0,brown,8325.0,not_married,north
193,36,man,11.0,white,4042.5,not_married,north
194,21,man,5.0,white,28704.0,not_married,north
195,44,woman,5.0,black,7632.0,not_married,north
196,25,man,7.0,brown,8152.0,not_married,north
197,57,man,9.0,white,46200.0,not_married,north
198,26,man,11.0,brown,6600.0,married,north
199,20,woman,11.0,white,5184.0,married,north
200,47,man,6.0,white,20352.0,not_married,north
